0,1,2,3,4
0.0,448.0,84.0,838.0,146.0
1.0,449.0,83.0,840.0,146.0
2.0,451.0,83.0,841.0,146.0
3.0,450.0,83.0,840.0,146.0
3.0,859.0,286.0,932.0,437.0
4.0,449.0,83.0,840.0,146.0
5.0,425.0,82.0,847.0,141.0
6.0,448.0,83.0,839.0,146.0
7.0,448.0,84.0,837.0,146.0
7.0,862.0,289.0,934.0,438.0
8.0,429.0,83.0,848.0,141.0
9.0,426.0,83.0,846.0,141.0
10.0,640.0,202.0,776.0,251.0
10.0,342.0,209.0,530.0,481.0
10.0,283.0,117.0,917.0,607.0
10.0,311.0,126.0,642.0,558.0
11.0,631.0,196.0,776.0,257.0
11.0,342.0,209.0,529.0,480.0
11.0,304.0,151.0,890.0,548.0
11.0,939.0,438.0,1015.0,479.0
12.0,630.0,196.0,776.0,257.0
12.0,343.0,209.0,529.0,481.0
12.0,282.0,115.0,926.0,606.0
12.0,313.0,129.0,627.0,543.0
12.0,938.0,439.0,1016.0,480.0
13.0,626.0,196.0,777.0,257.0
13.0,357.0,219.0,522.0,465.0
13.0,283.0,115.0,920.0,607.0
13.0,939.0,439.0,1015.0,480.0
13.0,314.0,128.0,633.0,547.0
14.0,358.0,220.0,522.0,464.0
14.0,639.0,202.0,776.0,251.0
14.0,284.0,116.0,928.0,609.0
14.0,939.0,439.0,1015.0,480.0
14.0,314.0,129.0,630.0,547.0
15.0,361.0,213.0,523.0,464.0
15.0,639.0,202.0,776.0,251.0
15.0,285.0,116.0,917.0,607.0
15.0,939.0,439.0,1015.0,479.0
15.0,315.0,127.0,634.0,548.0
16.0,363.0,214.0,524.0,464.0
16.0,639.0,202.0,776.0,251.0
16.0,286.0,116.0,901.0,604.0
16.0,939.0,439.0,1015.0,479.0
16.0,316.0,127.0,625.0,544.0
16.0,626.0,397.0,804.0,487.0
17.0,362.0,220.0,523.0,464.0
17.0,639.0,202.0,776.0,251.0
17.0,287.0,115.0,888.0,610.0
17.0,939.0,439.0,1015.0,479.0
17.0,317.0,131.0,615.0,539.0
18.0,345.0,207.0,536.0,481.0
18.0,639.0,202.0,776.0,251.0
18.0,289.0,113.0,878.0,610.0
18.0,318.0,136.0,597.0,531.0
18.0,939.0,439.0,1015.0,479.0
18.0,626.0,397.0,804.0,486.0
19.0,345.0,207.0,537.0,479.0
19.0,639.0,202.0,776.0,251.0
19.0,553.0,363.0,626.0,405.0
19.0,290.0,112.0,880.0,609.0
19.0,939.0,439.0,1015.0,480.0
19.0,625.0,397.0,804.0,487.0
20.0,347.0,209.0,538.0,480.0
20.0,639.0,202.0,776.0,251.0
20.0,550.0,363.0,625.0,405.0
20.0,301.0,123.0,819.0,597.0
20.0,627.0,397.0,804.0,486.0
20.0,939.0,439.0,1015.0,479.0
21.0,347.0,211.0,536.0,477.0
21.0,639.0,202.0,776.0,251.0
21.0,548.0,363.0,625.0,406.0
21.0,625.0,397.0,803.0,488.0
21.0,297.0,119.0,821.0,605.0
22.0,344.0,209.0,537.0,475.0
22.0,639.0,202.0,776.0,251.0
22.0,546.0,362.0,624.0,406.0
22.0,625.0,396.0,803.0,488.0
22.0,298.0,119.0,819.0,600.0
23.0,339.0,209.0,537.0,472.0
23.0,639.0,202.0,776.0,251.0
23.0,543.0,362.0,625.0,406.0
23.0,625.0,396.0,803.0,488.0
23.0,939.0,439.0,1015.0,479.0
23.0,299.0,120.0,819.0,595.0
23.0,309.0,125.0,581.0,566.0
24.0,339.0,208.0,537.0,473.0
24.0,640.0,202.0,776.0,251.0
24.0,540.0,363.0,624.0,406.0
24.0,617.0,392.0,794.0,491.0
24.0,940.0,439.0,1015.0,480.0
24.0,301.0,121.0,810.0,585.0
25.0,337.0,208.0,537.0,473.0
25.0,539.0,362.0,625.0,406.0
25.0,640.0,202.0,776.0,251.0
25.0,940.0,439.0,1015.0,480.0
25.0,617.0,393.0,795.0,491.0
25.0,300.0,120.0,810.0,593.0
26.0,326.0,185.0,546.0,477.0
26.0,536.0,362.0,625.0,406.0
26.0,640.0,202.0,776.0,251.0
26.0,939.0,439.0,1016.0,479.0
26.0,301.0,119.0,807.0,587.0
26.0,617.0,393.0,795.0,491.0
26.0,343.0,279.0,518.0,452.0
27.0,326.0,182.0,547.0,476.0
27.0,640.0,202.0,776.0,251.0
27.0,535.0,362.0,625.0,406.0
27.0,939.0,439.0,1015.0,480.0
27.0,627.0,397.0,804.0,487.0
27.0,302.0,120.0,799.0,578.0
28.0,326.0,180.0,548.0,475.0
28.0,534.0,362.0,625.0,406.0
28.0,640.0,202.0,776.0,251.0
28.0,626.0,397.0,803.0,486.0
28.0,939.0,439.0,1015.0,480.0
28.0,303.0,119.0,794.0,577.0
29.0,327.0,179.0,550.0,475.0
